week,gameday,gametime,away_team,home_team,location
1,2018-09-06,20:20,ATL,PHI,Home
1,2018-09-09,13:00,BUF,BAL,Home
1,2018-09-09,13:00,PIT,CLE,Home
1,2018-09-09,13:00,CIN,IND,Home
1,2018-09-09,13:00,TEN,MIA,Home
1,2018-09-09,13:00,SF,MIN,Home
1,2018-09-09,13:00,HOU,NE,Home
1,2018-09-09,13:00,TB,NO,Home
1,2018-09-09,13:00,JAX,NYG,Home
1,2018-09-09,16:05,KC,LAC,Home
1,2018-09-09,16:25,WAS,ARI,Home
1,2018-09-09,16:25,DAL,CAR,Home
1,2018-09-09,16:25,SEA,DEN,Home
1,2018-09-09,20:20,CHI,GB,Home
1,2018-09-10,19:10,NYJ,DET,Home
1,2018-09-10,22:20,LA,OAK,Home
2,2018-09-13,20:20,BAL,CIN,Home
2,2018-09-16,13:00,CAR,ATL,Home
2,2018-09-16,13:00,LAC,BUF,Home
2,2018-09-16,13:00,MIN,GB,Home
2,2018-09-16,13:00,CLE,NO,Home
2,2018-09-16,13:00,MIA,NYJ,Home
2,2018-09-16,13:00,KC,PIT,Home
2,2018-09-16,13:00,PHI,TB,Home
2,2018-09-16,13:00,HOU,TEN,Home
2,2018-09-16,13:00,IND,WAS,Home
2,2018-09-16,16:05,ARI,LA,Home
2,2018-09-16,16:05,DET,SF,Home
2,2018-09-16,16:25,OAK,DEN,Home
2,2018-09-16,16:25,NE,JAX,Home
2,2018-09-16,20:20,NYG,DAL,Home
2,2018-09-17,20:15,SEA,CHI,Home
3,2018-09-20,20:20,NYJ,CLE,Home
3,2018-09-23,13:00,NO,ATL,Home
3,2018-09-23,13:00,DEN,BAL,Home
3,2018-09-23,13:00,CIN,CAR,Home
3,2018-09-23,13:00,NYG,HOU,Home
3,2018-09-23,13:00,TEN,JAX,Home
3,2018-09-23,13:00,SF,KC,Home
3,2018-09-23,13:00,OAK,MIA,Home
3,2018-09-23,13:00,BUF,MIN,Home
3,2018-09-23,13:00,IND,PHI,Home
3,2018-09-23,13:00,GB,WAS,Home
3,2018-09-23,16:05,LAC,LA,Home
3,2018-09-23,16:25,CHI,ARI,Home
3,2018-09-23,16:25,DAL,SEA,Home
3,2018-09-23,20:20,NE,DET,Home
3,2018-09-24,20:15,PIT,TB,Home
4,2018-09-27,20:20,MIN,LA,Home
4,2018-09-30,13:00,CIN,ATL,Home
4,2018-09-30,13:00,TB,CHI,Home
4,2018-09-30,13:00,DET,DAL,Home
4,2018-09-30,13:00,BUF,GB,Home
4,2018-09-30,13:00,HOU,IND,Home
4,2018-09-30,13:00,NYJ,JAX,Home
4,2018-09-30,13:00,MIA,NE,Home
4,2018-09-30,13:00,PHI,TEN,Home
4,2018-09-30,16:05,SEA,ARI,Home
4,2018-09-30,16:05,CLE,OAK,Home
4,2018-09-30,16:25,SF,LAC,Home
4,2018-09-30,16:25,NO,NYG,Home
4,2018-09-30,20:20,BAL,PIT,Home
4,2018-10-01,20:15,KC,DEN,Home
5,2018-10-04,20:20,IND,NE,Home
5,2018-10-07,13:00,TEN,BUF,Home
5,2018-10-07,13:00,NYG,CAR,Home
5,2018-10-07,13:00,MIA,CIN,Home
5,2018-10-07,13:00,BAL,CLE,Home
5,2018-10-07,13:00,GB,DET,Home
5,2018-10-07,13:00,JAX,KC,Home
5,2018-10-07,13:00,DEN,NYJ,Home
5,2018-10-07,13:00,ATL,PIT,Home
5,2018-10-07,16:05,OAK,LAC,Home
5,2018-10-07,16:25,MIN,PHI,Home
5,2018-10-07,16:25,LA,SEA,Home
5,2018-10-07,16:25,ARI,SF,Home
5,2018-10-07,20:20,DAL,HOU,Home
5,2018-10-08,20:15,WAS,NO,Home
6,2018-10-11,20:20,PHI,NYG,Home
6,2018-10-14,13:00,TB,ATL,Home
6,2018-10-14,13:00,PIT,CIN,Home
6,2018-10-14,13:00,LAC,CLE,Home
6,2018-10-14,13:00,BUF,HOU,Home
6,2018-10-14,13:00,CHI,MIA,Home
6,2018-10-14,13:00,ARI,MIN,Home
6,2018-10-14,13:00,IND,NYJ,Home
6,2018-10-14,13:00,SEA,OAK,Neutral
6,2018-10-14,13:00,CAR,WAS,Home
6,2018-10-14,16:05,LA,DEN,Home
6,2018-10-14,16:25,JAX,DAL,Home
6,2018-10-14,16:25,BAL,TEN,Home
6,2018-10-14,20:20,KC,NE,Home
6,2018-10-15,20:15,SF,GB,Home
7,2018-10-18,20:20,DEN,ARI,Home
7,2018-10-21,13:00,NE,CHI,Home
7,2018-10-21,13:00,BUF,IND,Home
7,2018-10-21,13:00,HOU,JAX,Home
7,2018-10-21,13:00,DET,MIA,Home
7,2018-10-21,13:00,MIN,NYJ,Home
7,2018-10-21,13:00,CAR,PHI,Home
7,2018-10-21,13:00,CLE,TB,Home
7,2018-10-21,16:05,NO,BAL,Home
7,2018-10-21,16:25,LA,SF,Home
7,2018-10-21,16:25,DAL,WAS,Home
7,2018-10-21,20:20,CIN,KC,Home
7,2018-10-21,21:30,TEN,LAC,Neutral
7,2018-10-22,20:15,NYG,ATL,Home
8,2018-10-25,20:20,MIA,HOU,Home
8,2018-10-28,13:00,BAL,CAR,Home
8,2018-10-28,13:00,NYJ,CHI,Home
8,2018-10-28,13:00,TB,CIN,Home
8,2018-10-28,13:00,SEA,DET,Home
8,2018-10-28,13:00,DEN,KC,Home
8,2018-10-28,13:00,WAS,NYG,Home
8,2018-10-28,13:00,CLE,PIT,Home
8,2018-10-28,16:05,IND,OAK,Home
8,2018-10-28,16:25,SF,ARI,Home
8,2018-10-28,16:25,GB,LA,Home
8,2018-10-28,20:20,NO,MIN,Home
8,2018-10-28,21:30,PHI,JAX,Neutral
8,2018-10-29,20:15,NE,BUF,Home
9,2018-11-01,20:20,OAK,SF,Home
9,2018-11-04,13:00,PIT,BAL,Home
9,2018-11-04,13:00,CHI,BUF,Home
9,2018-11-04,13:00,TB,CAR,Home
9,2018-11-04,13:00,KC,CLE,Home
9,2018-11-04,13:00,NYJ,MIA,Home
9,2018-11-04,13:00,DET,MIN,Home
