name,position,team,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
A.J. Brown,WR,TEN,0.0,0.0,10.0,0.0,63.0,869.0,5.0,0.0,0,0.0,,,,,,,,,,,
A.J. Green,WR,ARI,0.0,0.0,0.0,0.0,54.0,848.0,3.0,0.0,0,0.0,,,,,,,,,,,
AJ Dillon,RB,GB,0.0,0.0,803.0,5.0,34.0,313.0,2.0,0.0,0,0.0,,,,,,,,,,,
Aaron Jones Sr.,RB,GB,0.0,0.0,799.0,4.0,52.0,391.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Aaron Rodgers,QB,GB,4115.0,37.0,101.0,3.0,1.0,-4.0,0.0,0.0,0,0.0,,,,,,,,,,,
Adam Humphries,WR,WSH,0.0,0.0,0.0,0.0,41.0,383.0,0.0,0.0,0,0.0,,,,,,,,,,,
Adam Shaheen,TE,MIA,0.0,0.0,0.0,0.0,12.0,110.0,0.0,0.0,0,0.0,,,,,,,,,,,
Adam Thielen,WR,MIN,,,,0.0,,,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Adam Trautman,TE,NO,0.0,0.0,0.0,0.0,27.0,263.0,2.0,0.0,0,0.0,,,,,,,,,,,
Albert Okwuegbunam Jr.,TE,DEN,0.0,0.0,0.0,0.0,33.0,330.0,2.0,0.0,0,0.0,,,,,,,,,,,
Albert Wilson,WR,MIA,0.0,0.0,17.0,0.0,25.0,213.0,0.0,0.0,0,0.0,,,,,,,,,,,
Aldrick Rosas,K,DET,,,,0.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,,,,,
Alex Armah,RB,WSH,0.0,0.0,21.0,0.0,1.0,1.0,1.0,0.0,0,0.0,,,,,,,,,,,
Alex Erickson,WR,CAR,0.0,0.0,0.0,0.0,3.0,55.0,0.0,0.0,0,0.0,,,,,,,,,,,
Alexander Mattison,RB,MIN,0.0,0.0,491.0,3.0,32.0,228.0,1.0,0.0,0,0.0,,,,,,,,,,,
