name,position,team,games_played,pass_yds,pass_td,pass_att,pass_cmp,pass_int,rush_yds,rush_td,carries,rec,rec_yds,rec_td,targets,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,fg_60_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
A.J. Brown,WR,PHI,13,0,0,0,0,0,0,0,0,67,1079,7,97,0,0,0,0,0,0,0,0,0,0,,,,,
AJ Barner,TE,SEA,15,0,0,0,0,0,0,0,0,30,245,4,38,0,0,0,0,0,0,0,0,0,0,,,,,
Aaron Jones,RB,MIN,17,0,0,0,0,0,1138,5,255,51,408,2,62,0,0,0,0,0,0,0,0,0,0,,,,,
Aaron Rodgers,QB,NYJ,17,3897,28,584,368,11,107,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,
Aaron Shampklin,RB,PIT,3,0,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Adam Thielen,WR,CAR,10,0,0,0,0,0,0,0,0,48,615,5,62,0,0,0,0,0,0,0,0,0,0,,,,,
Adam Trautman,TE,DEN,13,0,0,0,0,0,0,0,0,13,188,2,22,0,0,0,0,0,0,0,0,0,0,,,,,
Adonai Mitchell,WR,IND,17,24,0,1,1,0,6,0,4,23,312,0,55,0,0,0,0,0,0,0,0,0,0,,,,,
Aidan O'Connell,QB,LV,9,1612,8,243,154,4,30,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Ainias Smith,WR,PHI,3,0,0,0,0,0,6,0,2,7,41,1,9,0,0,0,0,0,0,0,0,0,0,,,,,
Alec Pierce,WR,IND,16,0,0,0,0,0,0,0,0,37,824,7,69,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Bachman,WR,LV,5,0,0,0,0,0,0,0,0,3,31,0,3,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Erickson,WR,NE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Alexander Mattison,RB,LV,14,0,0,0,0,0,420,4,132,36,294,1,48,0,0,1,0,0,0,0,0,0,0,,,,,
Allen Lazard,WR,NYJ,12,0,0,1,0,0,0,0,0,37,530,6,61,0,0,0,0,0,0,0,0,0,0,,,,,
Allen Robinson,WR,DET,6,0,0,0,0,0,0,0,0,3,30,0,7,0,0,0,0,0,0,0,0,0,0,,,,,
Alvin Kamara,RB,NO,14,0,0,0,0,0,950,6,228,68,543,2,89,0,0,0,0,0,0,0,0,0,0,,,,,
Amari Cooper,WR,BUF,13,0,0,0,0,0,0,0,0,44,547,4,85,0,0,0,0,0,0,0,0,0,0,,,,,
Ameer Abdullah,RB,LV,15,0,0,0,0,0,311,2,66,40,261,3,47,0,0,0,0,0,0,0,0,0,0,,,,,
Amon-Ra St. Brown,WR,DET,17,7,1,1,1,0,6,0,2,115,1263,12,141,0,0,0,0,0,0,0,0,0,0,,,,,
Anders Carlson,K,NYJ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,3,0,12,,,,,
Andrei Iosivas,WR,CIN,17,0,0,0,0,0,0,0,0,36,479,6,61,0,0,0,0,0,0,0,0,0,0,,,,,
Andrew Ogletree,TE,IND,12,0,0,0,0,0,0,0,0,9,109,1,14,0,0,0,0,0,0,0,0,0,0,,,,,
Andy Dalton,QB,CAR,6,989,7,160,106,6,34,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Anthony Firkser,TE,KC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Anthony Gould,WR,IND,8,0,0,0,0,0,0,0,0,1,23,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Anthony Miller,WR,BAL,1,0,0,0,0,0,0,0,0,1,16,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Anthony Richardson,QB,IND,11,1814,8,264,126,12,499,6,86,1,-1,0,1,0,0,1,0,0,0,0,0,0,0,,,,,
Antonio Gibson,RB,NE,17,0,0,0,0,0,538,1,120,23,206,0,29,0,0,0,0,0,0,0,0,0,0,,,,,
Arizona Cardinals,DEF,ARI,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,379.0
Ashton Dulin,WR,IND,13,0,0,0,0,0,45,0,5,2,67,1,8,0,0,0,0,0,0,0,0,0,0,,,,,
Atlanta Falcons,DEF,ATL,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,423.0
Audric Estimé,RB,DEN,13,0,0,0,0,0,310,2,76,5,27,0,5,0,0,0,0,0,0,0,0,0,0,,,,,
Austin Ekeler,RB,WAS,12,0,0,0,0,0,367,4,77,35,366,0,41,0,0,0,0,0,0,0,0,0,0,,,,,
Austin Hooper,TE,NE,17,0,0,0,0,0,0,0,0,45,476,3,59,0,0,0,0,0,0,0,0,0,0,,,,,
Austin Seibert,K,WAS,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,8,2,0,22,,,,,
Austin Trammell,WR,JAX,1,0,0,0,0,0,0,0,0,2,40,0,3,0,0,0,0,0,0,0,0,0,0,,,,,
Avery Williams,RB,ATL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Bailey Zappe,QB,CLE,1,170,1,31,16,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Baker Mayfield,QB,TB,17,4500,41,570,407,16,378,3,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Baltimore Ravens,DEF,BAL,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,361.0
Baylor Cupp,TE,KC,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Ben Sims,TE,GB,4,0,0,0,0,0,0,0,0,4,42,0,5,0,0,0,0,0,0,0,0,0,0,,,,,
Ben Sinnott,TE,WAS,7,0,0,0,0,0,0,0,0,5,28,1,5,0,0,0,0,0,0,0,0,0,0,,,,,
Ben Skowronek,WR,PIT,9,0,0,0,0,0,0,0,0,5,69,0,5,0,0,0,0,0,0,0,0,0,0,,,,,
Ben VanSumeren,RB,PHI,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Bijan Robinson,RB,ATL,17,0,0,0,0,0,1456,14,304,61,431,1,72,0,0,1,0,0,0,0,0,0,0,,,,,
Blake Corum,RB,LA,15,0,0,0,0,0,207,0,58,7,58,0,8,0,0,0,0,0,0,0,0,0,0,,,,,
