name,adp
Josh Allen,1.6
Jalen Hurts,1.9
Christian McCaffrey,2.7
Patrick Mahomes,4.0
Lamar Jackson,4.2
Tyreek Hill,6.3
C.J. Stroud,6.4
CeeDee Lamb,6.7
Anthony Richardson Sr.,8.9
Breece Hall,9.3
Joe Burrow,9.7
Bijan Robinson,10.6
Jordan Love,12.5
Ja'Marr Chase,13.6
Dak Prescott,14.7
Jonathan Taylor,15.1
Kyler Murray,15.6
Tua Tagovailoa,16.4
Justin Jefferson,16.8
Amon-Ra St. Brown,17.8
Saquon Barkley,19.5
A.J. Brown,21.1
Justin Herbert,22.4
Jahmyr Gibbs,23.5
Garrett Wilson,24.4
Caleb Williams,25.6
Kyren Williams,25.9
Derrick Henry,27.9
Matthew Stafford,28.3
Puka Nacua,28.4
Aaron Rodgers,31.2
Travis Etienne Jr.,31.7
Kirk Cousins,32.4
Isiah Pacheco,32.7
Jayden Daniels,33.0
Cooper Kupp,34.1
Drake London,34.2
De'Von Achane,36.7
Mike Evans,37.3
Brandon Aiyuk,39.4
Nico Collins,40.7
Rachaad White,41.7
Deshaun Watson,42.5
Marvin Harrison Jr.,43.4
Jaylen Waddle,43.5
DK Metcalf,44.1
Baker Mayfield,44.4
James Cook III,45.1
Travis Kelce,45.9
Kenneth Walker III,48.3
Chris Olave,48.4
Geno Smith,50.9
Joe Mixon,52.2
Davante Adams,52.5
Stefon Diggs,53.2
Amari Cooper,53.4
Sam LaPorta,54.1
DJ Moore,55.9
Will Levis,57.3
Aaron Jones Sr.,59.8
DeVonta Smith,59.8
Nick Chubb,60.3
James Conner,60.9
Jared Goff,63.4
Najee Harris,63.4
Malik Nabers,63.4
Michael Pittman Jr.,64.5
Brock Purdy,65.1
George Pickens,65.5
Alvin Kamara,66.8
D'Andre Swift,66.8
Christian Kirk,68.5
J.J. McCarthy,69.0
Zay Flowers,69.9
Mark Andrews,71.4
Zamir White,71.5
Terry McLaurin,73.7
Derek Carr,74.5
Rhamondre Stevenson,74.5
Keenan Allen,76.1
George Kittle,76.6
Raheem Mostert,77.5
Calvin Ridley,79.6
Trevor Lawrence,80.5
Rashee Rice,81.0
Russell Wilson,81.7
Dalton Kincaid,82.0
Devin Singletary,82.9
Trey McBride,83.1
Chris Godwin Jr.,84.6
Tony Pollard,85.0
Gus Edwards,87.4
Zack Moss,88.4
Josh Jacobs,90.3
Xavier Worthy,90.5
Hollywood Brown,92.6
Christian Watson,92.7
Kyle Pitts Sr.,94.2
Jaylen Warren,94.3
Jonathon Brooks,94.6
Bryce Young,94.7
Brian Robinson Jr.,97.3
Daniel Jones,98.7
Ladd McConkey,99.3
DeAndre Hopkins,100.6
Austin Ekeler,101.4
Chase Brown,101.5
Jameson Williams,104.0
Bo Nix,104.3
Jake Ferguson,104.5
Brian Thomas Jr.,105.2
Deebo Samuel Sr.,105.4
Keon Coleman,105.5
Jerome Ford,108.6
Jaxon Smith-Njigba,111.8
Tyler Lockett,111.8
Blake Corum,112.4
Gardner Minshew II,113.8
David Njoku,114.5
David Montgomery,115.1
Diontae Johnson,115.4
Romeo Doubs,115.7
Courtland Sutton,116.2
Brock Bowers,118.3
Mike Williams,119.4
Evan Engram,119.8
Trey Benson,121.8
Curtis Samuel,121.9
Tee Higgins,123.7
Tyjae Spears,124.3
Justin Fields,126.6
T.J. Hockenson,127.0
Tank Dell,127.1
Javonte Williams,127.2
Khalil Shakir,127.9
Joshua Palmer,128.4
Baltimore Ravens,129.1
Zach Charbonnet,129.2
Brandon Aubrey,130.2
Sam Darnold,130.3
Justin Tucker,131.0
Jayden Reed,131.2
Jaleel McLaughlin,131.9
Rico Dowdle,132.3
Harrison Butker,132.8
Dallas Cowboys,134.3
Tyler Allgeier,135.2
Jakobi Meyers,136.5
San Francisco 49ers,136.6
Chuba Hubbard,137.7
J.K. Dobbins,138.2
Pat Freiermuth,140.1
Ezekiel Elliott,140.2
New York Jets,141.0
Adam Thielen,141.6
Rome Odunze,141.7
Jonnu Smith,142.8
Younghoe Koo,143.7
Dallas Goedert,143.7
Jake Elliott,144.5
Brandin Cooks,145.8
Jacoby Brissett,146.8
Buffalo Bills,146.8
Ka'imi Fairbairn,147.1
Cleveland Browns,147.4
Drake Maye,147.7
Daniel Carlson,147.7
Tyler Bass,147.8
Dameon Pierce,148.2
Evan McPherson,149.0
Jordan Addison,150.7
Taysom Hill,151.0
Ray Davis,151.1
Antonio Gibson,151.5
Joe Flacco,151.8
Houston Texans,151.9
Chicago Bears,152.5
Jaylen Wright,152.6
Las Vegas Raiders,154.1
Matt Gay,154.3
Kansas City Chiefs,154.4
Pittsburgh Steelers,154.6
Michael Badgley,155.3
Green Bay Packers,155.4
Cincinnati Bengals,155.6
Jake Moody,155.9
Luke Musgrave,156.5
Kimani Vidal,157.1
Ty Chandler,157.2
Dalton Schultz,157.2
MarShawn Lloyd,157.6
Cole Kmet,157.7
Quentin Johnston,157.9
Greg Zuerlein,158.2
Elijah Mitchell,158.7
Jerry Jeudy,158.7
Isaiah Likely,158.9
Rashid Shaheed,159.2
Michael Wilson,159.6
Tyrone Tracy Jr.,160.3
Dontayvion Wicks,161.6
Jason Sanders,161.8
Cameron Dicker,162.0
Khalil Herbert,162.7
Josh Downs,162.8
Gabe Davis,163.2
Alexander Mattison,163.3
Roschon Johnson,163.4
Cam Little,164.6
Jahan Dotson,165.6
Darnell Mooney,166.0
Detroit Lions,170.3
