name,position,team,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made
A.J. Brown,WR,NE,0.0,0.0,0.0,0.0,78.0,1003.0,7.0,0.0,0,0.0,,,,,,
AJ Barner,TE,SEA,0.0,0.0,14.0,1.0,52.0,519.0,6.0,0.0,0,0.0,,,,,,
AJ Dillon,RB,CAR,0.0,0.0,60.0,0.0,3.0,21.0,0.0,0.0,0,0.0,,,,,,
Aaron Jones Sr.,RB,MIN,0.0,0.0,548.0,2.0,28.0,199.0,1.0,0.0,0,0.0,,,,,,
Aaron Rodgers,QB,PIT,3322.0,24.0,61.0,1.0,1.0,-9.0,0.0,0.0,0,0.0,,,,,,
Adam Thielen,WR,MIN,0.0,0.0,0.0,0.0,19.0,186.0,0.0,0.0,0,1.0,,,,,,
Adam Trautman,TE,DEN,0.0,0.0,0.0,0.0,20.0,195.0,1.0,0.0,0,0.0,,,,,,
Alec Pierce,WR,IND,0.0,0.0,0.0,0.0,47.0,1003.0,6.0,0.0,0,0.0,,,,,,
Alvin Kamara,RB,NO,0.0,0.0,471.0,1.0,33.0,186.0,0.0,0.0,0,0.0,,,,,,
Ameer Abdullah,RB,JAX,0.0,0.0,60.0,1.0,16.0,99.0,0.0,0.0,0,0.0,,,,,,
Amon-Ra St. Brown,WR,DET,0.0,0.0,9.0,0.0,117.0,1401.0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Szmyt,K,CLE,,,,0.0,,,0.0,0.0,0,0.0,0.0,4.0,10.0,5.0,5.0,25.0
Andrei Iosivas,WR,CIN,0.0,0.0,14.0,0.0,33.0,435.0,2.0,0.0,0,0.0,,,,,,
Andy Borregales,K,NE,,,,0.0,,,0.0,0.0,0,0.0,2.0,6.0,8.0,7.0,4.0,53.0
Andy Dalton,QB,PHI,293.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,
Antonio Gibson,RB,NE,0.0,0.0,106.0,1.0,2.0,6.0,0.0,0.0,0,0.0,,,,,,
Arian Smith,WR,NYJ,0.0,0.0,13.0,0.0,7.0,52.0,0.0,0.0,0,0.0,,,,,,
Ashton Dulin,WR,IND,0.0,0.0,44.0,,5.0,106.0,,,0,,,,,,,
Ashton Jeanty,RB,LV,0.0,0.0,975.0,5.0,55.0,346.0,5.0,0.0,0,0.0,,,,,,
Audric Estime,RB,NO,0.0,0.0,198.0,1.0,12.0,103.0,0.0,0.0,0,0.0,,,,,,
Austin Ekeler,RB,WSH,0.0,0.0,43.0,,5.0,38.0,,,0,,,,,,,
Austin Hooper,TE,ATL,0.0,0.0,0.0,0.0,21.0,263.0,2.0,0.0,0,0.0,,,,,,
Baker Mayfield,QB,TB,3693.0,26.0,382.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,
