timestamp,date_raw,team,type,player_added_raw,player_added_resolved,player_added_nfl_team,player_added_pos,player_dropped_raw,player_dropped_resolved,player_dropped_nfl_team,player_dropped_pos,counterparty_team,raw_line
2025-08-26T19:00:00,"Aug 26, 7:00pm",Wildcard,waiver,Najee Harris,Najee Harris,LAC,RB,David Montgomery,David Montgomery,HOU,RB,,"Najee Harris LAC-RB NA (Free Agent) / David Montgomery Hou-RB (To Free Agent) — Wildcard — Aug 26, 7:00pm"
2025-08-26T19:00:00,"Aug 26, 7:00pm",Wildcard,waiver,Travis Etienne Jr.,Travis Etienne,NO,RB,Kaleb Johnson,Kaleb Johnson,PIT,RB,,"Travis Etienne Jr. NO-RB (Free Agent) / Kaleb Johnson Pit-RB (To Free Agent) — Wildcard — Aug 26, 7:00pm"
2025-08-26T19:13:00,"Aug 26, 7:13pm",Redskins,waiver,Keon Coleman,Keon Coleman,BUF,WR,Tyrone Tracy Jr.,Tyrone Tracy Jr.,NYG,RB,,"Keon Coleman Buf-WR (Free Agent) / Tyrone Tracy Jr. NYG-RB (To Free Agent) — Redskins — Aug 26, 7:13pm"
2025-08-26T21:17:00,"Aug 26, 9:17pm",Wildcard,waiver,David Montgomery,David Montgomery,HOU,RB,Geno Smith,Geno Smith,NYJ,QB,,"David Montgomery Hou-RB (Free Agent) / Geno Smith NYJ-QB Q (To Free Agent) — Wildcard — Aug 26, 9:17pm"
2025-08-26T22:08:00,"Aug 26, 10:08pm",Elite,waiver,,,,,Jason Sanders,,NYJ,K,,"Jason Sanders NYJ-K Q (To Free Agent) — Elite — Aug 26, 10:08pm"
2025-08-26T22:09:00,"Aug 26, 10:09pm",Elite,waiver,Cairo Santos,Cairo Santos,CHI,K,,,,,,"Cairo Santos Chi-K — Elite — Aug 26, 10:09pm"
2025-08-27T17:51:00,"Aug 27, 5:51pm",Hoofers,waiver,Jayden Reed,Jayden Reed,GB,WR,Jauan Jennings,Jauan Jennings,MIN,WR,,"Jayden Reed GB-WR (Free Agent) / Jauan Jennings Min-WR (To Free Agent) — Hoofers — Aug 27, 5:51pm"
2025-08-27T19:25:00,"Aug 27, 7:25pm",Hoofers,waiver,Ricky Pearsall,Ricky Pearsall,SF,WR,Jayden Reed,Jayden Reed,GB,WR,,"Ricky Pearsall SF-WR Q (Free Agent) / Jayden Reed GB-WR (To Free Agent) — Hoofers — Aug 27, 7:25pm"
2025-08-28T08:17:00,"Aug 28, 8:17am",Elite,waiver,,,,,Rashee Rice,Rashee Rice,KC,WR,,"Rashee Rice KC-WR Q (To Free Agent) — Elite — Aug 28, 8:17am"
2025-08-28T17:53:00,"Aug 28, 5:53pm",Elite,waiver,Michael Pittman Jr.,Michael Pittman,PIT,WR,,,,,,"Michael Pittman Jr. Pit-WR — Elite — Aug 28, 5:53pm"
2025-08-28T23:29:00,"Aug 28, 11:29pm",Hoofers,waiver,Green Bay Packers,Green Bay Packers,GB,DEF,Jacksonville Jaguars,Jacksonville Jaguars,JAX,DEF,,"Packers GB-DEF (Free Agent) / Jaguars Jax-DEF (To Free Agent) — Hoofers — Aug 28, 11:29pm"
2025-08-30T10:38:00,"Aug 30, 10:38am",Hoofers,waiver,Tucker Kraft,Tucker Kraft,GB,TE,Dalton Kincaid,Dalton Kincaid,BUF,TE,,"Tucker Kraft GB-TE PUP-P (Free Agent) / Dalton Kincaid Buf-TE Q (To Free Agent) — Hoofers — Aug 30, 10:38am"
2025-09-02T12:23:00,"Sep 2, 12:23pm",ChronicMasterdeflatr,waiver,Trevor Lawrence,Trevor Lawrence,JAX,QB,J.J. McCarthy,J.J. McCarthy,MIN,QB,,"Trevor Lawrence Jax-QB (Free Agent) / J.J. McCarthy Min-QB Q (To Free Agent) — ChronicMasterdeflatr — Sep 2, 12:23pm"
2025-09-10T17:27:00,"Sep 10, 5:27pm",Let's Ride,waiver,Dalton Kincaid,Dalton Kincaid,BUF,TE,Evan Engram,Evan Engram,DEN,TE,,"Dalton Kincaid Buf-TE Q (Free Agent) / Evan Engram Den-TE (To Free Agent) — Let's Ride — Sep 10, 5:27pm"
2025-09-10T17:27:00,"Sep 10, 5:27pm",Let's Ride,waiver,Quentin Johnston,Quentin Johnston,LAC,WR,Rashod Bateman,Rashod Bateman,BAL,WR,,"Quentin Johnston LAC-WR (Free Agent) / Rashod Bateman Bal-WR Q (To Free Agent) — Let's Ride — Sep 10, 5:27pm"
2025-09-10T17:29:00,"Sep 10, 5:29pm",Let's Ride,waiver,Jacory Croskey-Merritt,Jacory Croskey-Merritt,WAS,RB,Sam Darnold,Sam Darnold,SEA,QB,,"Jacory Croskey-Merritt Was-RB Q (Free Agent) / Sam Darnold Sea-QB (To Free Agent) — Let's Ride — Sep 10, 5:29pm"
2025-09-10T17:31:00,"Sep 10, 5:31pm",Let's Ride,waiver,Los Angeles Rams,Los Angeles Rams,LA,DEF,Baltimore Ravens,Baltimore Ravens,BAL,DEF,,"Rams LAR-DEF (Free Agent) / Ravens Bal-DEF (To Free Agent) — Let's Ride — Sep 10, 5:31pm"
2025-09-10T17:37:00,"Sep 10, 5:37pm",Let's Ride,waiver,Jayden Reed,Jayden Reed,GB,WR,DeVonta Smith,DeVonta Smith,PHI,WR,,"Jayden Reed GB-WR (Free Agent) / DeVonta Smith Phi-WR (To Free Agent) — Let's Ride — Sep 10, 5:37pm"
2025-09-10T17:42:00,"Sep 10, 5:42pm",ChronicMasterdeflatr,waiver,Baltimore Ravens,Baltimore Ravens,BAL,DEF,Los Angeles Chargers,Los Angeles Chargers,LAC,DEF,,"Ravens Bal-DEF (Free Agent) / Chargers LAC-DEF (To Free Agent) — ChronicMasterdeflatr — Sep 10, 5:42pm"
