name,position,team,pass_yds,pass_td,pass_att,pass_cmp,pass_int,rush_yds,rush_td,carries,rec,rec_yds,rec_td,targets,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,fg_60_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed,projection_source
Will Reichard,K,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.158371040723982,8.660633484162897,6.864253393665158,10.135746606334841,0.7058823529411764,36.497737556561084,0.0,0.0,0.0,0.0,0.0,real_stats
Jason Myers,K,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,11.55,11.349999999999998,8.25,0.0,43.0,0.0,0.0,0.0,0.0,0.0,real_stats
Jauan Jennings,WR,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.47179487179487,382.7353846153846,4.008076923076923,46.60833333333333,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
Javonte Williams,RB,DAL,0.0,0.0,0.0,0.0,0.0,1017.2437500000001,8.490625,195.39999999999998,42.803124999999994,210.175,1.59375,50.01249999999999,0.0,0.0,0.31875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
Jawhar Jordan,RB,HOU,0.0,0.0,0.0,0.0,0.0,820.25,0.0,182.75,29.750000000000004,144.5,0.0,29.750000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
Jaxon Smith-Njigba,WR,SEA,8.75,0.0,0.25,0.25,0.0,28.099999999999998,0.0,5.449999999999999,105.85,1452.5,8.1,132.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
Jaxson Dart,QB,NYG,2758.8571428571427,18.214285714285715,411.64285714285717,262.2857142857143,6.071428571428571,591.3571428571429,10.928571428571429,104.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,1.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
Jayden Daniels,QB,WAS,3212.8403361344535,21.0672268907563,463.4621848739496,292.781512605042,7.7899159663865545,738.6302521008404,5.193277310924369,142.9579831932773,0.0,0.0,0.0,0.0,0.0,0.0,2.5966386554621845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
Jayden Higgins,WR,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,525.0,6.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
Jayden Reed,WR,GB,0.0,0.0,0.0,0.0,0.0,116.83562500000001,0.56875,11.12,62.709999999999994,762.914375,4.8149999999999995,63.63,0.0,0.0,0.159375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
Jaydon Blue,RB,DAL,0.0,0.0,0.0,0.0,0.0,438.6,3.4000000000000004,129.2,3.4000000000000004,17.0,0.0,3.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
Jaylen Waddle,WR,DEN,3.8249999999999997,0.0,0.47812499999999997,0.47812499999999997,0.0,17.576785714285716,0.0,1.80625,52.76071428571427,731.7133928571428,3.8401785714285714,65.44999999999999,0.0,0.0,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
Jalen McMillan,WR,TB,0.0,0.0,0.0,0.0,0.0,19.538461538461537,0.0,4.538461538461538,50.23076923076923,711.3076923076924,3.0769230769230775,67.3076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
Ty Johnson,RB,BUF,0.0,0.0,0.0,0.0,0.0,206.91000000000003,2.05,40.25,20.685000000000002,244.60999999999996,2.205,26.049999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real_stats
