name,adp
Jahmyr Gibbs,1.7
Bijan Robinson,2.6
Puka Nacua,3.7
Ja'Marr Chase,4.6
Jaxon Smith-Njigba,5.9
Christian McCaffrey,6.1
Amon-Ra St. Brown,8.1
Jonathan Taylor,8.2
CeeDee Lamb,10.6
Justin Jefferson,12.0
De'Von Achane,12.9
James Cook III,14.2
Saquon Barkley,16.8
Ashton Jeanty,17.2
Jeremiyah Love,17.5
Trey McBride,18.8
Drake London,19.6
Derrick Henry,20.2
Omarion Hampton,20.6
Rashee Rice,22.9
Josh Allen,22.9
Brock Bowers,23.3
Josh Jacobs,26.1
A.J. Brown,26.4
Chase Brown,26.6
Nico Collins,27.1
George Pickens,27.9
Kenneth Walker III,28.7
Breece Hall,32.6
Garrett Wilson,35.0
Chris Olave,35.4
Javonte Williams,37.3
DeVonta Smith,37.7
Kyren Williams,40.0
Lamar Jackson,40.0
Tetairoa McMillan,40.4
Emeka Egbuka,41.0
Zay Flowers,42.9
Cam Skattebo,43.7
Malik Nabers,44.0
Colston Loveland,45.4
Davante Adams,46.0
Tyler Warren,46.8
Travis Etienne Jr.,47.0
Drake Maye,47.9
Jayden Daniels,51.8
Quinshon Judkins,53.3
Jalen Hurts,54.1
Tee Higgins,55.0
Bucky Irving,55.7
Ladd McConkey,55.9
Joe Burrow,59.2
Terry McLaurin,59.3
Jaylen Waddle,59.6
TreVeyon Henderson,65.7
Kyle Pitts Sr.,66.1
Jameson Williams,66.8
Carnell Tate,66.9
DJ Moore,70.1
Sam LaPorta,70.1
D'Andre Swift,70.9
Rome Odunze,71.7
David Montgomery,72.6
Jaxson Dart,73.2
Jadarian Price,73.8
Bhayshul Tuten,76.2
Luther Burden III,76.3
Harold Fannin Jr.,76.6
Matthew Stafford,81.8
Marvin Harrison Jr.,83.6
George Kittle,84.7
Brandon Aubrey,84.9
Courtland Sutton,86.1
DK Metcalf,86.3
Tony Pollard,87.3
Mike Evans,87.8
Michael Pittman Jr.,89.5
Broncos D/ST,90.1
Texans D/ST,90.7
Dak Prescott,92.0
Caleb Williams,92.1
Alec Pierce,92.7
Trevor Lawrence,96.4
Jordyn Tyson,96.6
Christian Watson,97.1
Rams D/ST,98.5
Travis Kelce,99.2
Jaylen Warren,99.8
Bo Nix,100.7
Dallas Goedert,101.1
Brian Thomas Jr.,101.2
Parker Washington,101.7
Brock Purdy,101.7
Patrick Mahomes,103.9
Chuba Hubbard,103.9
Seahawks D/ST,105.5
Rico Dowdle,105.6
Matthew Golden,106.0
Makai Lemon,107.5
Jake Ferguson,108.5
Tucker Kraft,108.6
Jakobi Meyers,109.2
Rhamondre Stevenson,109.4
Justin Herbert,109.6
Cameron Dicker,109.9
Wan'Dale Robinson,112.7
Michael Wilson,114.4
Aaron Jones Sr.,115.8
J.K. Dobbins,118.1
Steelers D/ST,118.4
Travis Hunter,118.9
Ricky Pearsall,120.1
Jason Myers,120.1
Kenny Gainwell,120.2
Rachaad White,120.6
RJ Harvey,122.1
Jordan Addison,122.2
Kyle Monangai,122.3
Mark Andrews,122.6
Isaiah Likely,127.3
Jonathon Brooks,131.4
Ka'imi Fairbairn,133.4
Khalil Shakir,133.8
T.J. Hockenson,134.2
Ravens D/ST,135.0
Blake Corum,135.1
Eagles D/ST,135.5
Harrison Mevis,135.8
Chris Godwin Jr.,135.9
Josh Downs,136.1
Kenyon Sadiq,136.5
Cam Little,137.1
Jayden Reed,137.8
Dalton Kincaid,138.2
Xavier Worthy,138.6
Jacory Croskey-Merritt,139.4
KC Concepcion,141.9
Jared Goff,142.2
Patriots D/ST,143.1
Quentin Johnston,143.4
Hunter Henry,144.5
Romeo Doubs,146.0
Jordan Mason,147.3
Woody Marks,148.6
Kyler Murray,149.5
Eddy Pineiro,149.9
Baker Mayfield,150.1
Harrison Butker,151.3
Lions D/ST,152.1
Browns D/ST,152.4
Zach Charbonnet,153.0
Tyler Shough,153.5
Jake Bates,154.6
Alvin Kamara,154.9
Isiah Pacheco,156.2
Rashid Shaheed,157.5
Jayden Higgins,158.9
Jordan Love,159.9
Jalen Coker,161.2
Chiefs D/ST,161.4
Chargers D/ST,161.7
Tyler Loop,161.9
Chris Boswell,162.2
Jerry Jeudy,163.3
Daniel Jones,163.3
Jaguars D/ST,163.8
Juwan Johnson,164.0
Sam Darnold,164.1
Stefon Diggs,164.6
Tyjae Spears,165.0
Will Reichard,165.2
Fernando Mendoza,166.1
Cairo Santos,166.2
Jalen McMillan,166.4
Brenton Strange,166.5
C.J. Stroud,166.5
Malik Willis,166.6
Vikings D/ST,166.7
Terrance Ferguson,167.0
Cam Ward,167.1
Calvin Ridley,167.3
Cowboys D/ST,167.4
Denzel Boston,167.5
Tyrone Tracy Jr.,167.5
Packers D/ST,167.5
Omar Cooper Jr.,167.8
Dalton Schultz,168.0
Chris Rodriguez Jr.,168.2
Tank Bigsby,168.3
Oronde Gadsden,168.3
Chase McLaughlin,168.3
Bryce Young,168.4
Tre Tucker,168.5
49ers D/ST,168.5
Chig Okonkwo,168.6
Pat Freiermuth,168.8
Cooper Kupp,168.8
Buccaneers D/ST,168.8
Evan McPherson,168.8
Brian Robinson Jr.,168.9
Tyreek Hill,168.9
Jake Elliott,169.1
Giants D/ST,169.2
Bills D/ST,169.2
Braelon Allen,169.3
AJ Barner,169.3
Bears D/ST,169.3
Jauan Jennings,169.4
Tyler Allgeier,169.4
Odell Beckham Jr.,169.4
Germie Bernard,169.5
Aaron Rodgers,169.5
Shedeur Sanders,169.5
Dolphins D/ST,169.5
Ja'Kobi Lane,169.6
Bengals D/ST,169.6
Trey Smack,169.6
Matt Gay,169.6
Raiders D/ST,169.6
Antonio Williams,169.7
Jalen Nailor,169.7
James Conner,169.7
Panthers D/ST,169.7
Commanders D/ST,169.7
Deebo Samuel,169.8
J.J. McCarthy,169.8
Darnell Washington,169.8
Dawson Knox,169.8
Cole Kmet,169.8
Tyler Bass,169.8
Ryan Fitzgerald,169.8
Cardinals D/ST,169.8
KaVontae Turpin,169.8
Adonai Mitchell,169.9
Gunnar Helm,169.9
Nick Folk,169.9
Jets D/ST,169.9
Carson Beck,169.9
Justin Fields,169.9
Mac Jones,169.9
Tyler Higbee,169.9
Jameis Winston,169.9
Ty Simpson,169.9
Joe Milton III,169.9
Tommy DeVito,169.9
Ben Sauls,169.9
Jake Moody,169.9
Zane Gonzalez,169.9
Chad Ryland,169.9
Andre Szmyt,169.9
Jason Sanders,169.9
Titans D/ST,169.9
Falcons D/ST,169.9
DeMario Douglas,169.9
Kalif Raymond,169.9
Skyler Bell,169.9
Jordan Whittington,169.9
Josh Oliver,169.9
Eli Raridon,169.9
Zavion Thomas,169.9
Malachi Fields,169.9
Luke Musgrave,169.9
Konata Mumpfield,169.9
Mack Hollins,169.9
Luke Schoonmaker,169.9
Kyle Williams,169.9
Xavier Smith,169.9
Brock Wright,169.9
Tyson Bagent,169.9
Teddy Bridgewater,169.9
Trey Lance,169.9
Sam Roush,169.9
Jahdae Walker,169.9
Cade Klubnik,169.9
Kyle Allen,169.9
Drew Lock,169.9
Quinn Ewers,169.9
Gardner Minshew II,169.9
JuJu Smith-Schuster,169.9
Luke McCaffrey,169.9
Efton Chism III,169.9
Rasheen Ali,169.9
Lil'Jordan Humphrey,169.9
Isaiah Hodgins,169.9
Zach Wilson,169.9
Ronnie Rivers,169.9
Roman Wilson,169.9
Dillon Gabriel,169.9
Emmett Johnson,170.0
Jaydon Blue,170.0
Kirk Cousins,170.0
Elijah Arroyo,170.0
Joe Flacco,170.0
Reggie Gilliam,170.0
Patrick Ricard,170.0
Kendre Miller,170.0
Mason Taylor,170.0
Max Klare,170.0
Tommy Tremble,170.0
Noah Gray,170.0
Noah Fant,170.0
Austin Hooper,170.0
Elijah Higgins,170.0
Mason Rudolph,170.0
Anthony Richardson Sr.,170.0
Riley Leonard,170.0
Jarrett Stidham,170.0
Nick Mullens,170.0
Jake Browning,170.0
Joey Slye,170.0
Tyquan Thornton,170.0
Van Jefferson,170.0
Marvin Mims Jr.,170.0
Jaylin Lane,170.0
Tutu Atwell,170.0
Kevin Coleman Jr.,170.0
Hollywood Brown,170.0
Kendrick Bourne,170.0
Ashton Dulin,170.0
Jalen Royals,170.0
Treylon Burks,170.0
Joshua Palmer,170.0
Bryce Lance,170.0
Xavier Hutchinson,170.0
Olamide Zaccheaus,170.0
Erick All Jr.,170.0
Will Kacmarek,170.0
Drew Sample,170.0
Devontez Walker,170.0
Mitchell Evans,170.0
Cade Stover,170.0
John Bates,170.0
Dont'e Thornton Jr.,170.0
Tanner Hudson,170.0
Adam Trautman,170.0
Jackson Hawes,170.0
Brenen Thompson,170.0
KeAndre Lambert-Smith,170.0
Mo Alie-Cox,170.0
Ben Sinnott,170.0
Daniel Bellinger,170.0
Jeremy Ruckert,170.0
Durham Smythe,170.0
Cedric Tillman,170.0
Tez Johnson,170.0
Calvin Austin III,170.0
Mitchell Tinsley,170.0
Davis Allen,170.0
Foster Moreau,170.0
Nate Adkins,170.0
Isaiah Bond,170.0
Nate Boerkircher,170.0
Payne Durham,170.0
Charlie Kolar,170.0
Anthony Gould,170.0
Cyrus Allen,170.0
Greg Dortch,170.0
Malik Benson,170.0
Elic Ayomanor,170.0
