rank,name,position,pos_rank,team,adp
1,Jahmyr Gibbs,RB,1,DET,1.2
2,Bijan Robinson,RB,2,ATL,1.8
3,Ja'Marr Chase,WR,1,CIN,4.7
4,Puka Nacua,WR,2,LAR,5.2
5,Christian McCaffrey,RB,3,SF,5.8
6,Jonathan Taylor,RB,4,IND,6.2
7,Jaxon Smith-Njigba,WR,3,SEA,7.0
8,Amon-Ra St. Brown,WR,4,DET,9.7
9,James Cook,RB,5,BUF,10.0
10,CeeDee Lamb,WR,5,DAL,12.2
11,Ashton Jeanty,RB,6,LV,13.2
12,Devon Achane,RB,7,MIA,14.3
13,Saquon Barkley,RB,8,PHI,15.2
14,Justin Jefferson,WR,6,MIN,15.5
15,Derrick Henry,RB,9,BAL,16.7
16,Omarion Hampton,RB,10,LAC,16.8
17,Drake London,WR,7,ATL,17.8
18,Chase Brown,RB,11,CIN,18.2
19,Kenneth Walker,RB,12,KC,18.8
20,Brock Bowers,TE,1,LV,23.0
21,Nico Collins,WR,8,HOU,23.8
22,Jeremiyah Love,RB,13,ARI,24.5
23,Trey McBride,TE,2,ARI,25.2
24,George Pickens,WR,9,DAL,25.2
25,Rashee Rice,WR,10,KC,25.8
26,A.J. Brown,WR,11,NE,26.7
27,Kyren Williams,RB,14,LAR,27.3
28,Josh Jacobs,RB,15,GB,28.0
29,Breece Hall,RB,16,NYJ,28.7
30,Josh Allen,QB,1,BUF,28.8
31,Chris Olave,WR,12,NO,32.2
32,Javonte Williams,RB,17,DAL,35.0
33,Malik Nabers,WR,13,NYG,36.8
34,Tee Higgins,WR,14,CIN,38.0
35,Zay Flowers,WR,15,BAL,38.2
36,DeVonta Smith,WR,16,PHI,38.3
37,Emeka Egbuka,WR,17,TB,38.8
38,Travis Etienne,RB,18,NO,39.0
39,Cam Skattebo,RB,19,NYG,39.2
40,Tetairoa McMillan,WR,18,CAR,39.3
41,Garrett Wilson,WR,19,NYJ,40.7
42,Colston Loveland,TE,3,CHI,43.2
43,Jaylen Waddle,WR,20,DEN,45.8
44,Bucky Irving,RB,20,TB,46.7
45,Lamar Jackson,QB,2,BAL,46.7
46,Terry McLaurin,WR,21,WAS,47.8
47,Quinshon Judkins,RB,21,CLE,48.3
48,D'Andre Swift,RB,22,CHI,49.0
49,Luther Burden,WR,22,CHI,49.7
50,Davante Adams,WR,23,LAR,50.2
51,Ladd McConkey,WR,24,LAC,50.3
52,Jameson Williams,WR,25,DET,52.2
53,David Montgomery,RB,23,HOU,52.5
