flock_list_no,name,position,team,age,games_played,snap_pct,fpts,pos_rank,overall_rank
34,Josh Allen,QB,BUF,30.1,17,91.68,21.45,1,1
1,Jahmyr Gibbs,RB,DET,24.3,17,67.67,21.58,3,4
2,Bijan Robinson,RB,ATL,24.4,17,79.05,21.81,2,3
66,Drake Maye,QB,NE,23.9,17,97.08,20.7,2,2
5,Ja'Marr Chase,WR,CIN,26.4,16,95.8,19.6,3,10
6,Jaxon Smith-Njigba,WR,SEA,24.4,17,78.85,21.17,2,6
7,Puka Nacua,WR,LAR,25.1,16,69.68,23.44,1,2
65,Jayden Daniels,QB,WAS,25.6,7,90.45,16.33,17,34
53,Lamar Jackson,QB,BAL,29.5,13,93.75,16.53,16,20
10,Amon-Ra St. Brown,WR,DET,26.7,17,86.18,19.06,4,7
70,Caleb Williams,QB,CHI,24.6,17,98.77,18.72,7,5
11,Ashton Jeanty,RB,LV,22.6,17,78.35,14.42,16,18
23,Jeremiyah Love,RB,ARI,21.1,,,,,
14,Malik Nabers,WR,NYG,23.0,4,78.7,14.28,14,213
15,Justin Jefferson,WR,MIN,27.1,17,94.71,11.85,32,44
19,Brock Bowers,TE,LV,23.6,12,85.49,14.68,2,66
17,CeeDee Lamb,WR,DAL,27.3,14,74.28,14.35,12,45
67,Joe Burrow,QB,CIN,29.6,8,89.66,16.81,15,29
19,Drake London,WR,ATL,25.0,12,91.47,16.83,7,42
26,Trey McBride,TE,ARI,26.6,17,91.75,18.58,1,9
13,Omarion Hampton,RB,LAC,23.3,9,64.04,15.08,13,93
108,Patrick Mahomes,QB,KC,30.8,14,97.67,20.41,4,11
23,Tetairoa McMillan,WR,CAR,23.3,17,88.76,12.44,24,35
15,Devon Achane,RB,MIA,24.7,16,76.31,20.18,5,8
77,Justin Herbert,QB,LAC,28.3,16,97.54,17.93,11,10
80,Trevor Lawrence,QB,JAX,26.8,17,98.76,19.89,5,4
27,George Pickens,WR,DAL,25.3,17,83.33,17.17,6,12
40,Colston Loveland,TE,CHI,22.3,16,63.94,10.32,16,76
72,Jalen Hurts,QB,PHI,27.9,16,97.94,18.69,8,8
30,Carnell Tate,WR,TEN,21.5,,,,,
104,Bo Nix,QB,DEN,26.4,17,99.91,17.93,10,7
93,Brock Purdy,QB,SF,26.5,9,99.13,19.71,6,23
94,Jaxson Dart,QB,NYG,23.2,14,83.26,17.26,14,13
34,Emeka Egbuka,WR,TB,23.7,17,79.27,11.51,35,46
12,James Cook,RB,BUF,26.8,17,57.63,17.78,6,11
36,Rashee Rice,WR,KC,26.2,8,74.02,18.76,5,81
9,Jonathan Taylor,RB,IND,27.5,17,88.91,21.31,4,5
38,Nico Collins,WR,HOU,27.3,15,78.06,15.08,10,24
39,Chris Olave,WR,NO,26.0,16,73.58,16.75,8,15
40,Garrett Wilson,WR,NYJ,26.0,7,89.83,14.21,15,138
18,Kenneth Walker,RB,KC,25.7,17,47.46,11.29,29,49
42,Jordyn Tyson,WR,NO,21.9,,,,,
43,Ladd McConkey,WR,LAC,24.7,16,79.03,11.31,37,60
44,Makai Lemon,WR,PHI,22.1,,,,,
45,Luther Burden,WR,CHI,22.6,15,39.67,8.53,55,101
232,Fernando Mendoza,QB,LV,22.8,,,,,
61,Tyler Warren,TE,IND,24.1,17,88.31,11.09,10,50
14,Chase Brown,RB,CIN,26.3,17,67.7,16.62,7,13
27,Breece Hall,RB,NYJ,25.1,16,64.3,12.98,21,38
56,Quinshon Judkins,RB,CLE,22.7,14,51.07,12.13,26,72
49,TreVeyon Henderson,RB,NE,23.7,17,46.23,12.13,25,40
84,Dak Prescott,QB,DAL,32.9,17,95.61,18.46,9,6
55,Jadarian Price,RB,SEA,22.8,,,,,
54,Zay Flowers,WR,BAL,25.8,17,87.91,14.31,13,19
55,Rome Odunze,WR,CHI,24.1,12,88.21,12.18,28,84
56,Brian Thomas,WR,JAX,23.8,14,87.26,9.91,47,89
137,Jordan Love,QB,GB,27.7,15,94.01,15.68,21,15
7,Christian McCaffrey,RB,SF,30.1,17,84.16,24.51,1,1
116,Jared Goff,QB,DET,31.7,17,98.8,17.47,12,9
60,DeVonta Smith,WR,PHI,27.7,17,85.23,11.87,31,43
61,Tee Higgins,WR,CIN,27.5,15,83.83,14.11,16,34
42,Cam Skattebo,RB,NYG,24.4,8,53.4,15.96,9,104
73,Tucker Kraft,TE,GB,25.7,8,86.85,14.65,4,117
102,Harold Fannin,TE,CLE,22.0,16,77.21,11.65,8,54
30,Kyren Williams,RB,LAR,25.9,17,69.86,15.49,11,16
66,A.J. Brown,WR,NE,29.0,15,91.81,14.69,11,28
67,Marvin Harrison,WR,ARI,23.9,12,72.1,10.65,41,102
16,Saquon Barkley,RB,PHI,29.4,16,79.52,14.52,15,22
54,Bucky Irving,RB,TB,23.9,10,63.36,13.85,18,90
156,Cam Ward,QB,TEN,24.1,17,95.31,10.98,39,22
31,Javonte Williams,RB,DAL,26.2,16,68.82,15.18,12,20
125,Baker Mayfield,QB,TB,31.2,17,97.06,16.0,19,12
73,Jaylen Waddle,WR,DEN,27.6,16,78.49,12.13,29,47
131,Tyler Shough,QB,NO,26.8,11,68.1,14.36,24,26
75,Jameson Williams,WR,DET,25.3,17,91.34,12.94,21,29
115,Kyler Murray,QB,MIN,28.9,5,99.06,15.56,22,38
151,C.J. Stroud,QB,HOU,24.8,14,90.92,14.9,23,21
43,Travis Etienne,RB,NO,27.5,17,65.14,14.94,14,17
148,Kenyon Sadiq,TE,NYJ,21.3,,,,,
80,KC Concepcion,WR,CLE,21.8,,,,,
57,Bhayshul Tuten,RB,JAX,23.4,15,23.35,5.91,56,157
35,Josh Jacobs,RB,GB,28.4,15,60.35,15.81,10,21
85,Sam LaPorta,TE,DET,25.5,9,90.24,11.88,7,131
88,Kyle Pitts,TE,ATL,25.8,17,88.32,12.4,5,36
85,Omar Cooper Jr.,WR,NYJ,22.6,,,,,
20,Derrick Henry,RB,BAL,32.5,17,55.89,16.44,8,14
152,Sam Darnold,QB,SEA,29.1,17,96.45,13.85,27,14
88,Jordan Addison,WR,MIN,24.4,14,85.99,9.65,49,94
89,Travis Hunter,WR,JAX,23.1,7,100.0,9.11,52,197
90,Alec Pierce,WR,IND,26.2,15,92.45,12.22,27,57
50,D'Andre Swift,RB,CHI,27.5,16,58.19,14.29,17,23
92,DJ Moore,WR,BUF,29.2,17,85.3,10.01,46,71
93,Christian Watson,WR,GB,27.2,10,68.89,13.24,19,95
158,Daniel Jones,QB,IND,29.1,13,91.44,17.42,13,18
95,Michael Wilson,WR,ARI,26.4,17,81.73,12.98,20,27
96,Terry McLaurin,WR,WAS,30.8,10,70.46,11.42,36,121
163,Bryce Young,QB,CAR,25.0,16,96.63,13.63,28,19
98,Davante Adams,WR,LAR,33.5,14,72.06,15.92,9,25
316,Ty Simpson,QB,LAR,23.5,,,,,
114,Matthew Stafford,QB,LAR,38.4,17,99.18,20.61,3,3
51,David Montgomery,RB,HOU,29.1,17,37.2,9.82,33,73
136,Malik Willis,QB,MIA,27.1,4,41.15,12.8,30,43
142,Oronde Gadsden,TE,LAC,23.0,15,61.4,8.76,20,96
104,Mike Evans,WR,SF,32.9,8,66.78,10.6,42,166
105,Michael Pittman,WR,PIT,28.8,17,91.1,11.91,30,41
134,Jonah Coleman,RB,DEN,22.9,,,,,
107,Quentin Johnston,WR,LAC,24.8,14,77.74,12.23,26,70
108,Wan'Dale Robinson,WR,TEN,25.5,16,91.07,13.62,17,31
109,DK Metcalf,WR,PIT,28.6,15,88.06,12.48,23,53
110,Denzel Boston,WR,CLE,22.6,,,,,
111,Ricky Pearsall,WR,SF,25.8,9,79.23,9.84,48,157
226,Eli Stowers,TE,PHI,23.2,,,,,
113,Xavier Worthy,WR,KC,23.2,14,72.05,7.85,60,129
97,RJ Harvey,RB,DEN,25.4,17,42.03,12.15,24,39
115,Parker Washington,WR,JAX,24.3,16,67.34,10.79,39,69
116,Josh Downs,WR,IND,24.9,16,63.17,8.53,56,92
109,George Kittle,TE,SF,32.7,11,82.27,14.68,3,78
69,Jaylen Warren,RB,PIT,27.7,16,50.46,13.57,19,32
99,Kyle Monangai,RB,CHI,24.1,17,41.29,8.63,38,83
101,Jonathon Brooks,RB,CAR,23.0,,,,,
121,Jayden Higgins,WR,HOU,23.6,17,58.77,7.62,61,99
74,Chuba Hubbard,RB,CAR,27.1,15,47.14,8.36,42,107
133,Dalton Kincaid,TE,BUF,26.7,12,38.33,10.51,14,106
124,Matthew Golden,WR,GB,22.9,14,53.6,5.0,95,188
130,Isaiah Likely,TE,NYG,26.2,14,56.97,4.41,43,202
126,Jayden Reed,WR,GB,26.2,7,43.55,6.93,70,232
127,Chris Godwin,WR,TB,30.4,9,71.28,9.22,51,169
123,Jake Ferguson,TE,DAL,27.5,17,68.04,11.06,11,52
129,Jakobi Meyers,WR,JAX,29.7,16,85.79,10.99,38,67
130,Courtland Sutton,WR,DEN,30.7,17,86.64,12.92,22,30
91,Rachaad White,RB,WAS,27.5,17,49.73,8.41,41,87
105,Blake Corum,RB,LAR,25.6,17,28.86,7.19,49,111
98,Rico Dowdle,RB,PIT,28.1,17,55.42,12.72,23,33
