Player,Position,Team,Pass Yds,Pass TD,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,XPT,Def TD,Safety,Def Return TD,XP Returned,Pts Allowed
Josh Allen,QB,BUF,4200,32,520,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamar Jackson,QB,BAL,3600,24,850,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Mahomes,QB,KC,4300,28,300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hurts,QB,PHI,3800,20,600,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian McCaffrey,RB,SF,0,0,1300,11,60,450,3,0,0,0,0,0,0,0,0,0,0,0
Bijan Robinson,RB,ATL,0,0,1100,9,45,350,2,0,0,0,0,0,0,0,0,0,0,0
Breece Hall,RB,NYJ,0,0,1050,7,55,400,2,0,0,0,0,0,0,0,0,0,0,0
Jonathan Taylor,RB,IND,0,0,1200,10,25,180,1,0,0,0,0,0,0,0,0,0,0,0
Tyreek Hill,WR,MIA,0,0,50,0,95,1400,9,0,0,0,0,0,0,0,0,0,0,0
CeeDee Lamb,WR,DAL,0,0,20,0,105,1350,8,0,0,0,0,0,0,0,0,0,0,0
Justin Jefferson,WR,MIN,0,0,10,0,100,1500,10,0,0,0,0,0,0,0,0,0,0,0
Amon-Ra St. Brown,WR,DET,0,0,0,0,110,1250,7,0,0,0,0,0,0,0,0,0,0,0
Ja'Marr Chase,WR,CIN,0,0,15,0,98,1400,11,0,0,0,0,0,0,0,0,0,0,0
Puka Nacua,WR,LAR,0,0,30,0,90,1200,7,0,0,0,0,0,0,0,0,0,0,0
Travis Kelce,TE,KC,0,0,0,0,80,950,6,0,0,0,0,0,0,0,0,0,0,0
Sam LaPorta,TE,DET,0,0,0,0,70,750,5,0,0,0,0,0,0,0,0,0,0,0
Justin Tucker,K,BAL,0,0,0,0,0,0,0,2,7,9,6,3,32,0,0,0,0,0
Harrison Butker,K,KC,0,0,0,0,0,0,0,3,6,8,5,2,30,0,0,0,0,0
Brandon Aubrey,K,DAL,0,0,0,0,0,0,0,4,8,7,7,4,28,0,0,0,0,0
Evan McPherson,K,CIN,0,0,0,0,0,0,0,2,5,6,4,1,26,0,0,0,0,0
San Francisco,DEF,SF,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,280
Baltimore,DEF,BAL,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,295
Dallas,DEF,DAL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,320
New York Jets,DEF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,305
